index,pokemon_name,n_images
1,bulbasaur,46
2,ivysaur,42
3,venusaur,81
4,charmander,46
5,charmeleon,42
6,charizard,68
7,squirtle,48
8,wartortle,44
9,blastoise,60
10,caterpie,41
11,metapod,41
12,butterfree,72
13,weedle,38
14,kakuna,38
15,beedrill,46
16,pidgey,38
17,pidgeotto,38
18,pidgeot,46
19,rattata,71
20,raticate,75
21,spearow,40
22,fearow,40
23,ekans,41
24,arbok,41
25,pikachu,449
26,raichu,131
27,sandshrew,53
28,sandslash,53
29,nidoran-f,39
30,nidorina,39
31,nidoqueen,41
32,nidoran-m,39
33,nidorino,41
34,nidoking,41
35,clefairy,44
36,clefable,44
37,vulpix,59
38,ninetales,59
39,jigglypuff,44
40,wigglytuff,44
41,zubat,71
42,golbat,71
43,oddish,40
44,gloom,60
45,vileplume,60
46,paras,42
47,parasect,42
48,venonat,39
49,venomoth,39
50,diglett,55
51,dugtrio,55
52,meowth,62
53,persian,53
54,psyduck,48
55,golduck,46
56,mankey,41
57,primeape,41
58,growlithe,49
59,arcanine,49
60,poliwag,42
61,poliwhirl,42
62,poliwrath,42
63,abra,43
64,kadabra,67
65,alakazam,79
66,machop,43
67,machoke,43
68,machamp,48
69,bellsprout,39
70,weepinbell,39
71,victreebel,39
72,tentacool,44
73,tentacruel,44
74,geodude,57
75,graveler,57
76,golem,57
77,ponyta,50
78,rapidash,48
79,slowpoke,52
80,slowbro,60
81,magnemite,46
82,magneton,46
83,farfetchd,44
84,doduo,59
85,dodrio,59
86,seel,41
87,dewgong,41
88,grimer,53
89,muk,53
90,shellder,42
91,cloyster,42
92,gastly,44
93,haunter,44
94,gengar,69
95,onix,41
96,drowzee,41
97,hypno,63
98,krabby,39
99,kingler,44
100,voltorb,46
101,electrode,46
102,exeggcute,42
103,exeggutor,53
104,cubone,43
105,marowak,53
106,hitmonlee,40
107,hitmonchan,40
108,lickitung,43
109,koffing,40
110,weezing,46
111,rhyhorn,64
112,rhydon,64
113,chansey,46
114,tangela,41
115,kangaskhan,53
116,horsea,40
